# gnuplot data for packet timing
# ts	local_ts	difference
1383087067332	1383087067649	317
1383087067342	1383087067659	317
1383087067352	1383087067669	317
1383087067362	1383087067679	317
1383087067372	1383087067690	318
1383087067382	1383087067699	317
1383087067392	1383087067709	317
1383087067402	1383087067719	317
1383087067412	1383087067729	317
1383087067422	1383087067740	318
1383087067432	1383087067749	317
1383087067442	1383087067759	317
1383087067452	1383087067769	317
1383087067462	1383087067780	318
1383087067472	1383087067789	317
1383087067482	1383087067818	336
1383087067492	1383087067819	327
1383087067502	1383087067823	321
1383087067512	1383087067830	318
1383087067522	1383087067839	317
1383087067532	1383087067849	317
1383087067542	1383087067859	317
1383087067552	1383087067870	318
1383087067562	1383087067880	318
1383087067572	1383087067889	317
1383087067582	1383087067899	317
1383087067592	1383087067909	317
1383087067602	1383087067920	318
1383087067612	1383087067929	317
1383087067622	1383087067939	317
1383087067632	1383087067950	318
1383087067642	1383087067959	317
1383087067652	1383087067969	317
1383087067662	1383087067979	317
1383087067672	1383087067989	317
1383087067682	1383087068000	318
1383087067692	1383087068009	317
1383087067702	1383087068019	317
1383087067712	1383087068029	317
1383087067722	1383087068040	318
1383087067732	1383087068049	317
1383087067742	1383087068059	317
1383087067752	1383087068069	317
1383087067762	1383087068079	317
1383087067772	1383087068089	317
1383087067782	1383087068099	317
1383087067792	1383087068109	317
1383087067802	1383087068119	317
1383087067812	1383087068129	317
1383087067822	1383087068140	318
1383087067832	1383087068149	317
1383087067842	1383087068159	317
1383087067852	1383087068169	317
1383087067862	1383087068179	317
1383087067872	1383087068189	317
1383087067882	1383087068199	317
1383087067892	1383087068209	317
1383087067902	1383087068219	317
1383087067912	1383087068256	344
1383087067922	1383087068257	335
1383087067932	1383087068260	328
1383087067942	1383087068261	319
1383087067952	1383087068270	318
1383087067962	1383087068280	318
1383087067972	1383087068290	318
1383087067982	1383087068300	318
1383087067992	1383087068310	318
1383087068002	1383087068320	318
1383087068012	1383087068329	317
1383087068022	1383087068339	317
1383087068032	1383087068349	317
1383087068042	1383087068360	318
1383087068052	1383087068370	318
1383087068062	1383087068379	317
1383087068072	1383087068389	317
1383087068082	1383087068400	318
1383087068092	1383087068409	317
1383087068102	1383087068419	317
1383087068112	1383087068430	318
1383087068122	1383087068439	317
1383087068132	1383087068449	317
1383087068142	1383087068459	317
1383087068152	1383087068469	317
1383087068162	1383087068480	318
1383087068172	1383087068490	318
1383087068182	1383087068500	318
1383087068192	1383087068509	317
1383087068202	1383087068519	317
1383087068212	1383087068530	318
1383087068222	1383087068540	318
1383087068232	1383087068550	318
1383087068242	1383087068561	319
1383087068252	1383087068569	317
1383087068262	1383087068579	317
1383087068272	1383087068590	318
1383087068282	1383087068599	317
1383087068292	1383087068610	318
1383087068302	1383087068619	317
1383087068312	1383087068630	318
1383087068322	1383087068640	318
1383087068332	1383087068649	317
1383087068342	1383087068660	318
1383087068352	1383087068670	318
1383087068362	1383087068698	336
1383087068372	1383087068699	327
1383087068382	1383087068701	319
1383087068392	1383087068709	317
1383087068402	1383087068719	317
1383087068412	1383087068729	317
1383087068422	1383087068740	318
1383087068432	1383087068750	318
1383087068442	1383087068759	317
1383087068452	1383087068769	317
1383087068462	1383087068779	317
1383087068472	1383087068790	318
1383087068482	1383087068799	317
1383087068492	1383087068809	317
1383087068502	1383087068819	317
1383087068512	1383087068829	317
1383087068522	1383087068839	317
1383087068532	1383087068849	317
1383087068542	1383087068859	317
1383087068552	1383087068869	317
1383087068562	1383087068879	317
1383087068572	1383087068889	317
1383087068582	1383087068899	317
1383087068592	1383087068909	317
1383087068602	1383087068919	317
1383087068612	1383087068929	317
1383087068622	1383087068940	318
1383087068632	1383087068949	317
1383087068642	1383087068959	317
1383087068652	1383087068969	317
1383087068662	1383087068980	318
1383087068672	1383087068989	317
1383087068682	1383087068999	317
1383087068692	1383087069009	317
1383087068702	1383087069036	334
1383087068712	1383087069037	325
1383087068722	1383087069040	318
