# gnuplot data for packet timing
# ts	local_ts	difference
1383087067383	1383087067071	312
1383087067393	1383087067081	312
1383087067403	1383087067091	312
1383087067413	1383087067101	312
1383087067423	1383087067111	312
1383087067433	1383087067122	311
1383087067443	1383087067131	312
1383087067453	1383087067141	312
1383087067463	1383087067151	312
1383087067473	1383087067161	312
1383087067483	1383087067180	303
1383087067493	1383087067181	312
1383087067503	1383087067191	312
1383087067513	1383087067201	312
1383087067523	1383087067211	312
1383087067533	1383087067221	312
1383087067543	1383087067232	311
1383087067553	1383087067241	312
1383087067563	1383087067251	312
1383087067573	1383087067261	312
1383087067583	1383087067271	312
1383087067593	1383087067281	312
1383087067603	1383087067291	312
1383087067613	1383087067301	312
1383087067623	1383087067311	312
1383087067633	1383087067321	312
1383087067643	1383087067331	312
1383087067653	1383087067341	312
1383087067663	1383087067351	312
1383087067673	1383087067361	312
1383087067683	1383087067371	312
1383087067693	1383087067381	312
1383087067703	1383087067391	312
1383087067713	1383087067401	312
1383087067723	1383087067411	312
1383087067733	1383087067421	312
1383087067743	1383087067431	312
1383087067753	1383087067441	312
1383087067763	1383087067451	312
1383087067773	1383087067461	312
1383087067783	1383087067471	312
1383087067793	1383087067481	312
1383087067803	1383087067506	297
1383087067813	1383087067508	305
1383087067823	1383087067511	312
1383087067833	1383087067521	312
1383087067843	1383087067531	312
1383087067853	1383087067542	311
1383087067863	1383087067551	312
1383087067873	1383087067561	312
1383087067883	1383087067571	312
1383087067893	1383087067581	312
1383087067903	1383087067591	312
1383087067913	1383087067601	312
1383087067923	1383087067611	312
1383087067933	1383087067621	312
1383087067943	1383087067631	312
1383087067953	1383087067641	312
1383087067963	1383087067651	312
1383087067973	1383087067661	312
1383087067983	1383087067672	311
1383087067993	1383087067681	312
1383087068003	1383087067691	312
1383087068013	1383087067701	312
1383087068023	1383087067711	312
1383087068033	1383087067721	312
1383087068043	1383087067731	312
1383087068053	1383087067741	312
1383087068063	1383087067751	312
1383087068073	1383087067761	312
1383087068083	1383087067771	312
1383087068093	1383087067781	312
1383087068103	1383087067791	312
1383087068113	1383087067801	312
1383087068123	1383087067811	312
1383087068133	1383087067821	312
1383087068143	1383087067831	312
1383087068153	1383087067841	312
1383087068163	1383087067851	312
1383087068173	1383087067861	312
1383087068183	1383087067871	312
1383087068193	1383087067881	312
1383087068203	1383087067890	313
1383087068213	1383087067901	312
1383087068223	1383087067911	312
1383087068233	1383087067944	289
1383087068243	1383087067945	298
1383087068253	1383087067947	306
1383087068263	1383087067952	311
1383087068273	1383087067961	312
1383087068283	1383087067971	312
1383087068293	1383087067981	312
1383087068303	1383087067991	312
1383087068313	1383087068001	312
1383087068323	1383087068011	312
1383087068333	1383087068021	312
1383087068343	1383087068031	312
1383087068353	1383087068041	312
1383087068363	1383087068053	310
1383087068373	1383087068061	312
1383087068383	1383087068071	312
1383087068393	1383087068081	312
1383087068403	1383087068091	312
1383087068413	1383087068101	312
1383087068423	1383087068111	312
1383087068433	1383087068122	311
1383087068443	1383087068132	311
1383087068453	1383087068141	312
1383087068463	1383087068152	311
1383087068473	1383087068161	312
1383087068483	1383087068171	312
1383087068493	1383087068182	311
1383087068503	1383087068192	311
1383087068513	1383087068201	312
1383087068523	1383087068211	312
1383087068533	1383087068221	312
1383087068543	1383087068232	311
1383087068553	1383087068244	309
1383087068563	1383087068251	312
1383087068573	1383087068261	312
1383087068583	1383087068271	312
1383087068593	1383087068282	311
1383087068603	1383087068291	312
1383087068613	1383087068301	312
1383087068623	1383087068311	312
1383087068633	1383087068321	312
1383087068643	1383087068331	312
1383087068653	1383087068341	312
1383087068663	1383087068351	312
1383087068673	1383087068361	312
1383087068683	1383087068385	298
