# gnuplot data for packet timing
# ts	local_ts	difference
1383087279776	1383087279505	271
1383087279786	1383087279515	271
1383087279796	1383087279525	271
1383087279806	1383087279535	271
1383087279816	1383087279545	271
1383087279826	1383087279555	271
1383087279836	1383087279565	271
1383087279846	1383087279575	271
1383087279856	1383087279585	271
1383087279866	1383087279595	271
1383087279876	1383087279605	271
1383087279886	1383087279615	271
1383087279896	1383087279625	271
1383087279906	1383087279635	271
1383087279916	1383087279645	271
1383087279926	1383087279655	271
1383087279936	1383087279665	271
1383087279946	1383087279675	271
1383087279956	1383087279685	271
1383087279966	1383087279695	271
1383087279976	1383087279705	271
1383087279986	1383087279715	271
1383087279996	1383087279725	271
1383087280006	1383087279735	271
1383087280016	1383087279745	271
1383087280026	1383087279755	271
1383087280036	1383087279765	271
1383087280046	1383087279775	271
1383087280056	1383087279785	271
1383087280066	1383087279795	271
1383087280076	1383087279805	271
1383087280086	1383087279815	271
1383087280096	1383087279825	271
1383087280106	1383087279835	271
1383087280116	1383087279845	271
1383087280126	1383087279855	271
1383087280136	1383087279865	271
1383087280146	1383087279875	271
1383087280156	1383087279885	271
1383087280166	1383087279895	271
1383087280176	1383087279905	271
1383087280186	1383087279915	271
1383087280196	1383087279925	271
1383087280206	1383087279935	271
1383087280216	1383087279945	271
1383087280226	1383087279955	271
1383087280236	1383087279965	271
1383087280246	1383087279975	271
1383087280256	1383087279985	271
1383087280266	1383087279995	271
1383087280276	1383087280005	271
1383087280286	1383087280015	271
1383087280296	1383087280025	271
1383087280306	1383087280035	271
1383087280316	1383087280045	271
1383087280326	1383087280055	271
1383087280336	1383087280065	271
1383087280346	1383087280075	271
1383087280356	1383087280085	271
1383087280366	1383087280095	271
1383087280376	1383087280105	271
1383087280386	1383087280115	271
1383087280396	1383087280125	271
1383087280406	1383087280135	271
1383087280416	1383087280145	271
1383087280426	1383087280155	271
1383087280436	1383087280165	271
1383087280446	1383087280175	271
1383087280456	1383087280185	271
1383087280466	1383087280195	271
1383087280476	1383087280205	271
1383087280486	1383087280215	271
1383087280496	1383087280225	271
1383087280506	1383087280235	271
1383087280516	1383087280245	271
1383087280526	1383087280255	271
1383087280536	1383087280265	271
1383087280546	1383087280275	271
1383087280556	1383087280285	271
1383087280566	1383087280295	271
1383087280576	1383087280305	271
1383087280586	1383087280315	271
1383087280596	1383087280325	271
1383087280606	1383087280335	271
1383087280616	1383087280345	271
1383087280626	1383087280355	271
1383087280636	1383087280365	271
1383087280646	1383087280375	271
1383087280656	1383087280385	271
1383087280666	1383087280395	271
1383087280676	1383087280405	271
1383087280686	1383087280415	271
1383087280696	1383087280425	271
1383087280706	1383087280435	271
1383087280716	1383087280445	271
1383087280726	1383087280455	271
1383087280736	1383087280465	271
1383087280746	1383087280475	271
1383087280756	1383087280485	271
1383087280766	1383087280495	271
1383087280776	1383087280505	271
1383087280786	1383087280515	271
1383087280796	1383087280525	271
1383087280806	1383087280535	271
1383087280816	1383087280545	271
1383087280826	1383087280555	271
1383087280836	1383087280565	271
1383087280846	1383087280575	271
1383087280856	1383087280585	271
1383087280866	1383087280595	271
1383087280876	1383087280605	271
1383087280886	1383087280616	270
1383087280896	1383087280625	271
1383087280906	1383087280635	271
1383087280916	1383087280645	271
1383087280926	1383087280655	271
1383087280936	1383087280665	271
1383087280946	1383087280675	271
1383087280956	1383087280685	271
1383087280966	1383087280695	271
1383087280976	1383087280705	271
1383087280986	1383087280715	271
1383087280996	1383087280725	271
1383087281006	1383087280735	271
1383087281016	1383087280745	271
1383087281026	1383087280755	271
1383087281036	1383087280765	271
1383087281046	1383087280775	271
1383087281056	1383087280785	271
1383087281066	1383087280795	271
1383087281076	1383087280805	271
1383087281086	1383087280815	271
1383087281096	1383087280825	271
1383087281106	1383087280835	271
1383087281116	1383087280845	271
1383087281126	1383087280855	271
1383087281136	1383087280865	271
1383087281146	1383087280875	271
1383087281156	1383087280885	271
1383087281166	1383087280895	271
1383087281176	1383087280905	271
1383087281186	1383087280915	271
1383087281196	1383087280925	271
1383087281206	1383087280935	271
1383087281216	1383087280945	271
1383087281226	1383087280955	271
1383087281236	1383087280965	271
1383087281246	1383087280975	271
1383087281256	1383087280985	271
1383087281266	1383087280995	271
1383087281276	1383087281005	271
1383087281286	1383087281015	271
1383087281296	1383087281025	271
1383087281306	1383087281035	271
1383087281316	1383087281045	271
1383087281326	1383087281055	271
1383087281336	1383087281065	271
1383087281346	1383087281075	271
1383087281356	1383087281085	271
1383087281366	1383087281095	271
1383087281376	1383087281105	271
1383087281386	1383087281115	271
1383087281396	1383087281125	271
1383087281406	1383087281135	271
1383087281416	1383087281145	271
1383087281426	1383087281155	271
1383087281436	1383087281165	271
1383087281446	1383087281175	271
1383087281456	1383087281185	271
1383087281466	1383087281195	271
1383087281476	1383087281205	271
1383087281486	1383087281215	271
1383087281496	1383087281225	271
1383087281506	1383087281235	271
1383087281516	1383087281245	271
1383087281526	1383087281255	271
1383087281536	1383087281265	271
1383087281546	1383087281275	271
1383087281556	1383087281285	271
1383087281566	1383087281295	271
1383087281576	1383087281305	271
1383087281586	1383087281315	271
1383087281596	1383087281325	271
1383087281606	1383087281335	271
1383087281616	1383087281346	270
1383087281626	1383087281355	271
1383087281636	1383087281365	271
1383087281646	1383087281375	271
1383087281656	1383087281385	271
1383087281666	1383087281395	271
1383087281676	1383087281405	271
1383087281686	1383087281415	271
1383087281696	1383087281425	271
1383087281706	1383087281435	271
1383087281716	1383087281445	271
1383087281726	1383087281455	271
1383087281736	1383087281465	271
1383087281746	1383087281475	271
1383087281756	1383087281485	271
1383087281766	1383087281495	271
1383087281776	1383087281505	271
1383087281786	1383087281515	271
1383087281796	1383087281525	271
1383087281806	1383087281535	271
1383087281816	1383087281545	271
1383087281826	1383087281555	271
1383087281836	1383087281565	271
1383087281846	1383087281575	271
1383087281856	1383087281585	271
1383087281866	1383087281595	271
1383087281876	1383087281605	271
1383087281886	1383087281615	271
1383087281896	1383087281625	271
1383087281906	1383087281635	271
1383087281916	1383087281645	271
1383087281926	1383087281655	271
1383087281936	1383087281665	271
1383087281946	1383087281675	271
1383087281956	1383087281685	271
1383087281966	1383087281695	271
1383087281976	1383087281705	271
1383087281986	1383087281715	271
1383087281996	1383087281725	271
1383087282006	1383087281735	271
1383087282016	1383087281745	271
1383087282026	1383087281755	271
1383087282036	1383087281765	271
1383087282046	1383087281775	271
1383087282056	1383087281785	271
1383087282066	1383087281795	271
1383087282076	1383087281805	271
1383087282086	1383087281815	271
1383087282096	1383087281825	271
1383087282106	1383087281835	271
1383087282116	1383087281845	271
1383087282126	1383087281855	271
1383087282136	1383087281865	271
1383087282146	1383087281875	271
1383087282156	1383087281885	271
1383087282166	1383087281895	271
1383087282176	1383087281905	271
1383087282186	1383087281915	271
1383087282196	1383087281925	271
1383087282206	1383087281935	271
1383087282216	1383087281945	271
1383087282226	1383087281955	271
1383087282236	1383087281965	271
1383087282246	1383087281975	271
1383087282256	1383087281985	271
1383087282266	1383087281995	271
1383087282276	1383087282005	271
1383087282286	1383087282015	271
1383087282296	1383087282025	271
1383087282306	1383087282035	271
1383087282316	1383087282045	271
1383087282326	1383087282055	271
1383087282336	1383087282065	271
1383087282346	1383087282075	271
1383087282356	1383087282085	271
1383087282366	1383087282095	271
1383087282376	1383087282105	271
1383087282386	1383087282115	271
1383087282396	1383087282125	271
1383087282406	1383087282135	271
1383087282416	1383087282145	271
1383087282426	1383087282155	271
1383087282436	1383087282165	271
1383087282446	1383087282175	271
1383087282456	1383087282185	271
1383087282466	1383087282195	271
1383087282476	1383087282206	270
1383087282486	1383087282215	271
1383087282496	1383087282225	271
1383087282506	1383087282235	271
1383087282516	1383087282245	271
1383087282526	1383087282255	271
1383087282536	1383087282265	271
1383087282546	1383087282275	271
1383087282556	1383087282285	271
1383087282566	1383087282295	271
1383087282576	1383087282305	271
1383087282586	1383087282315	271
1383087282596	1383087282325	271
1383087282606	1383087282335	271
1383087282616	1383087282345	271
1383087282626	1383087282355	271
1383087282636	1383087282365	271
1383087282646	1383087282375	271
1383087282656	1383087282385	271
1383087282666	1383087282395	271
1383087282676	1383087282405	271
1383087282686	1383087282415	271
1383087282696	1383087282425	271
1383087282706	1383087282435	271
1383087282716	1383087282445	271
1383087282726	1383087282455	271
1383087282736	1383087282465	271
1383087282746	1383087282475	271
1383087282756	1383087282485	271
1383087282766	1383087282495	271
1383087282776	1383087282505	271
1383087282786	1383087282515	271
1383087282796	1383087282525	271
1383087282806	1383087282535	271
1383087282816	1383087282545	271
1383087282826	1383087282555	271
1383087282836	1383087282565	271
1383087282846	1383087282575	271
1383087282856	1383087282585	271
1383087282866	1383087282595	271
1383087282876	1383087282605	271
1383087282886	1383087282615	271
1383087282896	1383087282625	271
1383087282906	1383087282635	271
1383087282916	1383087282645	271
1383087282926	1383087282655	271
1383087282936	1383087282665	271
1383087282946	1383087282675	271
1383087282956	1383087282685	271
1383087282966	1383087282695	271
1383087282976	1383087282705	271
1383087282986	1383087282715	271
1383087282996	1383087282725	271
1383087283006	1383087282735	271
1383087283016	1383087282745	271
1383087283026	1383087282755	271
1383087283036	1383087282765	271
1383087283046	1383087282775	271
1383087283056	1383087282785	271
1383087283066	1383087282795	271
1383087283076	1383087282805	271
1383087283086	1383087282815	271
1383087283096	1383087282825	271
1383087283106	1383087282835	271
1383087283116	1383087282846	270
1383087283126	1383087282855	271
1383087283136	1383087282865	271
1383087283146	1383087282875	271
1383087283156	1383087282886	270
1383087283166	1383087282895	271
1383087283176	1383087282906	270
1383087283186	1383087282915	271
1383087283196	1383087282925	271
1383087283206	1383087282935	271
1383087283216	1383087282945	271
1383087283226	1383087282956	270
1383087283236	1383087282965	271
1383087283246	1383087282975	271
1383087283256	1383087282985	271
1383087283266	1383087282995	271
1383087283276	1383087283005	271
1383087283286	1383087283016	270
1383087283296	1383087283025	271
1383087283306	1383087283035	271
1383087283316	1383087283045	271
1383087283326	1383087283055	271
1383087283336	1383087283065	271
1383087283346	1383087283075	271
1383087283356	1383087283085	271
1383087283366	1383087283095	271
1383087283376	1383087283105	271
1383087283386	1383087283115	271
1383087283396	1383087283125	271
1383087283406	1383087283135	271
1383087283416	1383087283145	271
1383087283426	1383087283155	271
1383087283436	1383087283165	271
1383087283446	1383087283175	271
1383087283456	1383087283185	271
1383087283466	1383087283195	271
1383087283476	1383087283205	271
1383087283486	1383087283215	271
1383087283496	1383087283225	271
1383087283506	1383087283235	271
1383087283516	1383087283245	271
1383087283526	1383087283255	271
1383087283536	1383087283265	271
1383087283546	1383087283275	271
1383087283556	1383087283285	271
1383087283566	1383087283295	271
1383087283576	1383087283305	271
1383087283586	1383087283315	271
1383087283596	1383087283325	271
1383087283606	1383087283335	271
1383087283616	1383087283345	271
1383087283626	1383087283355	271
1383087283636	1383087283365	271
1383087283646	1383087283375	271
1383087283656	1383087283385	271
1383087283666	1383087283395	271
1383087283676	1383087283405	271
1383087283686	1383087283415	271
1383087283696	1383087283425	271
1383087283706	1383087283435	271
1383087283716	1383087283445	271
1383087283726	1383087283455	271
1383087283736	1383087283465	271
1383087283746	1383087283475	271
