# gnuplot data for packet timing
# ts	local_ts	difference
1383126871004	1383126870999	5
1383126871014	1383126871021	7
1383126871028	1383126871026	2
1383126871034	1383126871032	2
1383126871044	1383126871039	5
1383126871054	1383126871048	6
1383126871064	1383126871068	4
1383126871074	1383126871072	2
1383126871084	1383126871079	5
1383126871094	1383126871089	5
1383126871104	1383126871099	5
1383126871121	1383126871117	4
1383126871125	1383126871122	3
1383126871134	1383126871132	2
1383126871144	1383126871139	5
1383126871154	1383126871160	6
1383126871168	1383126871166	2
1383126871174	1383126871171	3
1383126871184	1383126871179	5
1383126871194	1383126871190	4
1383126871204	1383126871218	14
1383126871215	1383126871224	9
1383126871224	1383126871230	6
1383126871235	1383126871236	1
1383126871244	1383126871241	3
1383126871262	1383126871262	0
1383126871276	1383126871271	5
1383126871286	1383126871283	3
1383126871296	1383126871308	12
1383126871310	1383126871311	1
1383126871316	1383126871325	9
1383126871326	1383126871331	5
1383126871336	1383126871336	0
1383126871357	1383126871357	0
1383126871370	1383126871367	3
1383126871380	1383126871378	2
1383126871390	1383126871395	5
1383126871403	1383126871410	7
1383126871410	1383126871423	13
1383126871420	1383126871429	9
1383126871430	1383126871461	31
1383126871451	1383126871468	17
1383126871464	1383126871472	8
1383126871475	1383126871507	32
1383126871485	1383126871515	30
1383126871498	1383126871520	22
1383126871505	1383126871558	53
1383126871514	1383126871567	53
1383126871525	1383126871570	45
1383126871534	1383126871590	56
1383126871547	1383126871624	77
1383126871555	1383126871636	81
1383126871564	1383126871645	81
1383126871575	1383126871651	76
1383126871585	1383126871672	87
1383126871605	1383126871684	79
1383126871616	1383126871692	76
1383126871626	1383126871697	71
1383126871641	1383126871714	73
1383126871646	1383126871720	74
1383126871656	1383126871732	76
1383126871666	1383126871736	70
1383126871676	1383126871742	66
1383126871689	1383126871761	72
1383126871696	1383126871765	69
1383126871706	1383126871778	72
1383126871716	1383126871784	68
1383126871725	1383126871790	65
1383126871736	1383126871807	71
1383126871746	1383126871814	68
1383126871756	1383126871826	70
1383126871766	1383126871833	67
1383126871776	1383126871838	62
1383126871786	1383126871856	70
1383126871796	1383126871862	66
1383126871806	1383126871901	95
1383126871816	1383126871907	91
1383126871831	1383126871923	92
1383126871836	1383126871929	93
1383126871846	1383126871934	88
1383126871856	1383126871951	95
1383126871866	1383126871956	90
1383126871879	1383126871971	92
1383126871886	1383126871977	91
1383126871896	1383126871995	99
1383126871906	1383126872000	94
1383126871916	1383126872019	103
1383126871940	1383126872023	83
1383126871951	1383126872029	78
1383126871960	1383126872047	87
1383126871977	1383126872051	74
1383126871981	1383126872070	89
1383126871991	1383126872089	98
1383126872000	1383126872095	95
1383126872011	1383126872100	89
1383126872037	1383126872118	81
1383126872046	1383126872135	89
1383126872057	1383126872140	83
1383126872074	1383126872146	72
1383126872088	1383126872165	77
1383126872097	1383126872184	87
1383126872108	1383126872190	82
1383126872121	1383126872195	74
1383126872127	1383126872213	86
1383126872138	1383126872218	80
1383126872148	1383126872235	87
1383126872169	1383126872240	71
1383126872183	1383126872256	73
1383126872193	1383126872262	69
1383126872203	1383126872280	77
1383126872216	1383126872287	71
1383126872223	1383126872303	80
1383126872233	1383126872308	75
1383126872243	1383126872313	70
1383126872263	1383126872330	67
1383126872276	1383126872335	59
1383126872286	1383126872351	65
1383126872296	1383126872358	62
1383126872321	1383126872375	54
1383126872331	1383126872380	49
1383126872341	1383126872397	56
1383126872356	1383126872404	48
1383126872361	1383126872422	61
1383126872371	1383126872428	57
1383126872381	1383126872444	63
1383126872403	1383126872449	46
1383126872416	1383126872455	39
1383126872426	1383126872471	45
1383126872437	1383126872475	38
1383126872462	1383126872493	31
1383126872471	1383126872499	28
1383126872482	1383126872517	35
1383126872497	1383126872523	26
1383126872502	1383126872537	35
1383126872511	1383126872543	32
1383126872521	1383126872559	38
1383126872532	1383126872564	32
1383126872555	1383126872568	13
1383126872565	1383126872588	23
1383126872575	1383126872606	31
1383126872592	1383126872612	20
1383126872595	1383126872618	23
1383126872605	1383126872634	29
1383126872615	1383126872652	37
1383126872625	1383126872656	31
1383126872641	1383126872661	20
1383126872645	1383126872667	22
1383126872655	1383126872682	27
1383126872665	1383126872688	23
1383126872675	1383126872732	57
1383126872700	1383126872751	51
1383126872710	1383126872759	49
1383126872720	1383126872765	45
1383126872730	1383126872778	48
1383126872740	1383126872794	54
1383126872750	1383126872799	49
1383126872760	1383126872805	45
1383126872782	1383126872820	38
1383126872795	1383126872826	31
1383126872805	1383126872843	38
1383126872815	1383126872849	34
1383126872840	1383126872855	15
1383126872850	1383126872888	38
1383126872860	1383126872894	34
1383126872876	1383126872898	22
1383126872881	1383126872916	35
1383126872891	1383126872921	30
1383126872900	1383126872939	39
1383126872910	1383126872943	33
1383126872936	1383126872949	13
1383126872946	1383126872966	20
1383126872956	1383126872984	28
1383126872971	1383126872990	19
1383126872976	1383126872995	19
1383126872986	1383126873013	27
1383126872996	1383126873027	31
1383126873006	1383126873033	27
1383126873030	1383126873037	7
1383126873040	1383126873043	3
1383126873050	1383126873059	9
1383126873065	1383126873082	17
1383126873070	1383126873088	18
1383126873081	1383126873092	11
1383126873090	1383126873109	19
1383126873113	1383126873128	15
1383126873126	1383126873135	9
1383126873136	1383126873140	4
1383126873146	1383126873158	12
1383126873160	1383126873175	15
1383126873166	1383126873180	14
1383126873176	1383126873184	8
1383126873186	1383126873202	16
1383126873207	1383126873210	3
1383126873220	1383126873226	6
1383126873231	1383126873232	1
1383126873241	1383126873250	9
1383126873254	1383126873254	0
1383126873261	1383126873272	11
1383126873271	1383126873279	8
1383126873281	1383126873293	12
1383126873302	1383126873298	4
1383126873315	1383126873324	9
1383126873325	1383126873325	0
1383126873335	1383126873347	12
1383126873349	1383126873363	14
1383126873355	1383126873366	11
1383126873365	1383126873374	9
1383126873375	1383126873388	13
1383126873396	1383126873417	21
1383126873417	1383126873435	18
1383126873427	1383126873441	14
1383126873443	1383126873463	20
1383126873447	1383126873469	22
1383126873457	1383126873485	28
1383126873467	1383126873494	27
1383126873477	1383126873512	35
1383126873491	1383126873517	26
1383126873497	1383126873533	36
1383126873507	1383126873539	32
1383126873517	1383126873556	39
1383126873538	1383126873562	24
1383126873552	1383126873579	27
1383126873562	1383126873584	22
1383126873572	1383126873602	30
1383126873585	1383126873608	23
1383126873592	1383126873612	20
1383126873602	1383126873630	28
1383126873612	1383126873648	36
1383126873633	1383126873653	20
1383126873646	1383126873659	13
1383126873656	1383126873676	20
1383126873666	1383126873681	15
1383126873680	1383126873698	18
1383126873686	1383126873702	16
1383126873696	1383126873722	26
1383126873706	1383126873726	20
1383126873727	1383126873744	17
1383126873741	1383126873750	9
1383126873751	1383126873767	16
1383126873761	1383126873773	12
1383126873786	1383126873789	3
1383126873796	1383126873795	1
1383126873806	1383126873813	7
1383126873821	1383126873819	2
1383126873826	1383126873835	9
1383126873836	1383126873845	9
1383126873846	1383126873849	3
1383126873856	1383126873866	10
1383126873880	1383126873885	5
1383126873890	1383126873888	2
1383126873900	1383126873907	7
1383126873915	1383126873915	0
1383126873920	1383126873931	11
1383126873931	1383126873943	12
1383126873940	1383126873955	15
1383126873950	1383126873978	28
1383126873975	1383126873989	14
1383126873985	1383126874002	17
1383126873995	1383126874029	34
1383126874010	1383126874051	41
1383126874015	1383126874055	40
1383126874025	1383126874060	35
1383126874035	1383126874079	44
1383126874056	1383126874084	28
1383126874069	1383126874099	30
1383126874080	1383126874106	26
1383126874090	1383126874110	20
1383126874104	1383126874145	41
1383126874110	1383126874150	40
1383126874120	1383126874156	36
1383126874129	1383126874176	47
1383126874152	1383126874181	29
1383126874166	1383126874197	31
1383126874176	1383126874222	46
1383126874186	1383126874226	40
1383126874211	1383126874242	31
1383126874221	1383126874248	27
1383126874231	1383126874271	40
1383126874247	1383126874291	44
1383126874251	1383126874295	44
1383126874261	1383126874303	42
1383126874271	1383126874336	65
1383126874281	1383126874341	60
1383126874294	1383126874346	52
1383126874301	1383126874370	69
1383126874311	1383126874375	64
1383126874321	1383126874385	64
1383126874331	1383126874390	59
1383126874353	1383126874397	44
1383126874363	1383126874403	40
1383126874373	1383126874427	54
1383126874388	1383126874432	44
1383126874393	1383126874439	46
1383126874403	1383126874445	42
1383126874414	1383126874450	36
1383126874423	1383126874455	32
1383126874436	1383126874476	40
1383126874443	1383126874481	38
1383126874453	1383126874489	36
1383126874463	1383126874496	33
1383126874473	1383126874501	28
1383126874483	1383126874522	39
1383126874493	1383126874529	36
1383126874503	1383126874536	33
1383126874513	1383126874541	28
1383126874529	1383126874547	18
1383126874533	1383126874552	19
1383126874543	1383126874573	30
1383126874553	1383126874580	27
1383126874563	1383126874587	24
1383126874588	1383126874592	4
1383126874598	1383126874599	1
1383126874608	1383126874635	27
1383126874625	1383126874641	16
1383126874639	1383126874646	7
1383126874649	1383126874651	2
1383126874659	1383126874680	21
1383126874672	1383126874685	13
1383126874679	1383126874691	12
1383126874689	1383126874696	7
1383126874699	1383126874711	12
1383126874718	1383126874728	10
1383126874732	1383126874733	1
