# gnuplot data for packet timing
# ts	local_ts	difference
1383126870126	1383126870151	25
1383126870132	1383126870157	25
1383126870142	1383126870163	21
1383126870152	1383126870183	31
1383126870162	1383126870191	29
1383126870174	1383126870196	22
1383126870182	1383126870201	19
1383126870192	1383126870210	18
1383126870202	1383126870233	31
1383126870212	1383126870239	27
1383126870222	1383126870243	21
1383126870232	1383126870250	18
1383126870242	1383126870260	18
1383126870252	1383126870279	27
1383126870268	1383126870289	21
1383126870272	1383126870293	21
1383126870282	1383126870301	19
1383126870292	1383126870310	18
1383126870302	1383126870330	28
1383126870315	1383126870335	20
1383126870322	1383126870345	23
1383126870332	1383126870351	19
1383126870342	1383126870373	31
1383126870352	1383126870380	28
1383126870362	1383126870384	22
1383126870372	1383126870391	19
1383126870382	1383126870401	19
1383126870392	1383126870420	28
1383126870402	1383126870428	26
1383126870412	1383126870433	21
1383126870422	1383126870441	19
1383126870432	1383126870463	31
1383126870442	1383126870471	29
1383126870457	1383126870478	21
1383126870462	1383126870484	22
1383126870472	1383126870491	19
1383126870482	1383126870514	32
1383126870492	1383126870522	30
1383126870504	1383126870528	24
1383126870512	1383126870534	22
1383126870522	1383126870541	19
1383126870532	1383126870571	39
1383126870542	1383126870576	34
1383126870552	1383126870582	30
1383126870562	1383126870605	43
1383126870572	1383126870610	38
1383126870582	1383126870617	35
1383126870592	1383126870622	30
1383126870602	1383126870627	25
1383126870612	1383126870634	22
1383126870622	1383126870652	30
1383126870632	1383126870660	28
1383126870645	1383126870664	19
1383126870652	1383126870676	24
1383126870662	1383126870679	17
1383126870672	1383126870688	16
1383126870682	1383126870706	24
1383126870692	1383126870711	19
1383126870702	1383126870723	21
1383126870712	1383126870729	17
1383126870722	1383126870750	28
1383126870737	1383126870758	21
1383126870742	1383126870763	21
1383126870752	1383126870769	17
1383126870762	1383126870778	16
1383126870772	1383126870799	27
1383126870784	1383126870805	21
1383126870792	1383126870810	18
1383126870802	1383126870821	19
1383126870812	1383126870841	29
1383126870822	1383126870847	25
1383126870832	1383126870852	20
1383126870842	1383126870863	21
1383126870852	1383126870870	18
1383126870862	1383126870893	31
1383126870876	1383126870897	21
1383126870882	1383126870902	20
1383126870892	1383126870910	18
1383126870902	1383126870920	18
1383126870912	1383126870938	26
1383126870923	1383126870943	20
1383126870932	1383126870951	19
1383126870942	1383126870960	18
1383126870952	1383126870982	30
1383126870970	1383126870988	18
1383126870972	1383126870993	21
1383126870982	1383126871001	19
1383126870992	1383126871010	18
1383126871002	1383126871032	30
1383126871017	1383126871037	20
1383126871022	1383126871043	21
1383126871032	1383126871050	18
1383126871042	1383126871060	18
1383126871052	1383126871079	27
1383126871064	1383126871084	20
1383126871072	1383126871091	19
1383126871082	1383126871101	19
1383126871092	1383126871122	30
1383126871111	1383126871129	18
1383126871123	1383126871142	19
1383126871133	1383126871151	18
1383126871143	1383126871172	29
1383126871157	1383126871178	21
1383126871163	1383126871183	20
1383126871173	1383126871190	17
1383126871183	1383126871200	17
1383126871193	1383126871226	33
1383126871210	1383126871234	24
1383126871214	1383126871241	27
1383126871223	1383126871245	22
1383126871233	1383126871263	30
1383126871243	1383126871273	30
1383126871257	1383126871282	25
1383126871263	1383126871287	24
1383126871273	1383126871315	42
1383126871283	1383126871319	36
1383126871293	1383126871330	37
1383126871307	1383126871342	35
1383126871313	1383126871356	43
1383126871323	1383126871360	37
1383126871333	1383126871373	40
1383126871343	1383126871378	35
1383126871354	1383126871384	30
1383126871363	1383126871409	46
1383126871373	1383126871413	40
1383126871383	1383126871426	43
1383126871393	1383126871435	42
1383126871406	1383126871439	33
1383126871413	1383126871477	64
1383126871423	1383126871481	58
1383126871433	1383126871500	67
1383126871458	1383126871523	65
1383126871470	1383126871529	59
1383126871480	1383126871548	68
1383126871490	1383126871575	85
1383126871507	1383126871580	73
1383126871511	1383126871595	84
1383126871521	1383126871642	121
1383126871530	1383126871648	118
1383126871540	1383126871657	117
1383126871567	1383126871663	96
1383126871577	1383126871691	114
1383126871587	1383126871698	111
1383126871618	1383126871703	85
1383126871631	1383126871709	78
1383126871640	1383126871715	75
1383126871650	1383126871739	89
1383126871678	1383126871743	65
1383126871688	1383126871749	61
1383126871698	1383126871755	57
1383126871713	1383126871761	48
1383126871718	1383126871784	66
1383126871728	1383126871791	63
1383126871738	1383126871797	59
1383126871748	1383126871803	55
1383126871771	1383126871808	37
1383126871781	1383126871832	51
1383126871791	1383126871839	48
1383126871807	1383126871845	38
1383126871812	1383126871852	40
1383126871821	1383126871858	37
1383126871831	1383126871881	50
1383126871841	1383126871887	46
1383126871854	1383126871929	75
1383126871861	1383126871935	74
